experiment,subject,rating_type,label_shown,index,condition,condition_expl,src,first_label,second_label,first_res,second_res,rating,rating_str
1,13,7,yes,2,5,"UHD -> UHD
L: UHD -> HD",SRC06,UHD,HD,UHD,UHD,-2,worse
1,13,7,yes,3,5,"UHD -> UHD
L: UHD -> HD",SRC07,UHD,HD,UHD,UHD,-1,slightly worse
1,13,7,yes,4,6,"HD -> HD
L: UHD -> HD",SRC08,UHD,HD,HD,HD,-1,slightly worse
1,13,7,yes,5,5,"UHD -> UHD
L: UHD -> HD",SRC05,UHD,HD,UHD,UHD,-1,slightly worse
1,13,7,yes,6,8,HD -> HD,SRC03,HD,HD,HD,HD,0,same
1,13,7,yes,7,6,"HD -> HD
L: UHD -> HD",SRC02,UHD,HD,HD,HD,-1,slightly worse
1,13,7,yes,8,3,"UHD -> UHD
L: HD -> UHD",SRC01,HD,UHD,UHD,UHD,1,slightly better
1,13,7,yes,9,2,UHD -> HD,SRC02,UHD,HD,UHD,HD,-1,slightly worse
1,13,7,yes,10,3,"UHD -> UHD
L: HD -> UHD",SRC06,HD,UHD,UHD,UHD,1,slightly better
1,13,7,yes,11,6,"HD -> HD
L: UHD -> HD",SRC05,UHD,HD,HD,HD,-1,slightly worse
1,13,7,yes,12,5,"UHD -> UHD
L: UHD -> HD",SRC03,UHD,HD,UHD,UHD,-1,slightly worse
1,13,7,yes,13,2,UHD -> HD,SRC04,UHD,HD,UHD,HD,-1,slightly worse
1,13,7,yes,14,5,"UHD -> UHD
L: UHD -> HD",SRC01,UHD,HD,UHD,UHD,-1,slightly worse
1,13,7,yes,15,7,UHD -> UHD,SRC08,UHD,UHD,UHD,UHD,0,same
